Object_Type,moved_left,moved_right,Time
Person,0,1,2021-12-15 13:35:00.506424
Person,0,1,2021-12-15 13:35:10.005172
Person,1,0,2021-12-15 13:35:10.265635
Person,1,0,2021-12-15 13:35:11.863135
Person,0,1,2021-12-15 13:35:12.126105
Car,0,1,2021-12-15 13:35:12.689868
Car,1,0,2021-12-15 13:35:13.780202
Car,1,0,2021-12-15 13:35:14.834996
Car,1,0,2021-12-15 13:35:15.372950
Person,1,0,2021-12-15 13:35:15.903616
Car,0,1,2021-12-15 13:35:17.501741
Person,0,1,2021-12-15 13:35:19.624655
Person,0,1,2021-12-15 13:35:20.948879
Person,1,0,2021-12-15 13:35:21.471981
Person,0,1,2021-12-15 13:35:24.394145
Person,1,0,2021-12-15 13:35:27.053411
Person,1,0,2021-12-15 13:35:27.584561
Person,0,1,2021-12-15 13:35:27.845391
Person,1,0,2021-12-15 13:36:19.544219
Person,0,1,2021-12-15 13:49:23.899884
Person,0,1,2021-12-15 14:19:07.463871
Person,1,0,2021-12-15 14:19:08.506392
Person,1,0,2021-12-15 14:19:08.765972
Person,1,0,2021-12-15 14:19:16.372532
Object_Type,moved_left,moved_right,Time
Person,0,1,2021-12-15 14:20:38.698657
Person,1,0,2021-12-15 14:20:43.221407
Person,0,1,2021-12-15 14:20:48.555544
Person,0,1,2021-12-15 14:20:56.921724
Person,1,0,2021-12-15 14:21:01.093052
Person,0,1,2021-12-15 14:21:05.083707
Person,1,0,2021-12-15 14:21:07.694952
Person,0,1,2021-12-15 14:21:13.996394
Person,1,0,2021-12-15 14:21:18.675719
Person,0,1,2021-12-15 14:21:29.338550
Person,1,0,2021-12-15 14:21:54.228683
Person,0,1,2021-12-15 14:22:07.629692
Person,1,0,2021-12-15 14:24:39.718315
Person,0,1,2021-12-15 14:24:40.798059
Person,1,0,2021-12-15 14:26:48.778112
Person,0,1,2021-12-15 14:27:24.244926
Person,1,0,2021-12-15 14:27:36.848111
Person,0,1,2021-12-15 14:27:44.203796
Person,1,0,2021-12-15 14:27:45.268654
Person,1,0,2021-12-15 14:55:11.217839
Person,0,1,2021-12-15 14:55:20.343280
Person,0,1,2021-12-15 14:56:07.721589
Person,1,0,2021-12-15 14:57:29.560548
Person,0,1,2021-12-15 14:57:30.601760
Person,1,0,2021-12-15 14:57:30.868048
Person,0,1,2021-12-15 15:05:25.513101
Person,1,0,2021-12-15 15:15:41.382267
Person,0,1,2021-12-15 15:15:51.373893
Person,1,0,2021-12-15 15:15:54.482991
Person,1,0,2021-12-15 15:15:58.743846
Person,0,1,2021-12-15 15:15:59.276285
Person,1,0,2021-12-15 15:17:45.848058
Person,0,1,2021-12-15 15:17:46.892505
Person,1,0,2021-12-15 15:18:11.136094
Person,0,1,2021-12-15 15:18:11.395795
Person,1,0,2021-12-15 15:18:12.981384
Person,0,1,2021-12-15 15:18:13.242696
Person,1,0,2021-12-15 15:18:27.161821
Person,1,0,2021-12-15 15:19:11.620580
Person,1,0,2021-12-15 15:19:12.405276
Person,0,1,2021-12-15 15:19:12.665846
Person,0,1,2021-12-15 15:19:14.515876
Person,1,0,2021-12-15 15:19:15.302751
Person,0,1,2021-12-15 15:19:15.562939
Person,1,0,2021-12-15 15:19:15.823357
Person,1,0,2021-12-15 15:19:16.880839
Person,0,1,2021-12-15 15:19:17.142975
Person,0,1,2021-12-15 15:19:19.773386
Person,0,1,2021-12-15 15:19:25.820868
Person,0,1,2021-12-15 15:22:35.130913
Person,1,0,2021-12-15 15:23:33.651412
Person,1,0,2021-12-15 15:24:02.911492
Person,0,1,2021-12-15 15:25:30.993362
Person,0,1,2021-12-15 15:26:32.222745
Person,0,1,2021-12-15 15:30:20.343368
Person,1,0,2021-12-15 15:30:24.225476
Person,0,1,2021-12-15 15:30:24.482065
Person,1,0,2021-12-15 15:30:24.737907
Person,0,1,2021-12-15 15:30:25.507103
Person,1,0,2021-12-15 15:32:27.172394
Person,0,1,2021-12-15 15:32:59.340306
Person,0,1,2021-12-15 15:34:43.371316
Person,0,1,2021-12-15 15:34:54.735455
Person,0,1,2021-12-15 15:36:02.584137
Person,1,0,2021-12-15 15:36:04.158543
Person,1,0,2021-12-15 15:36:05.739935
Object_Type,moved_left,moved_right,Time
Person,0,1,2021-12-15 16:47:36.963241
Person,1,0,2021-12-15 16:47:38.523606
Person,0,1,2021-12-15 16:47:39.301877
Person,0,1,2021-12-15 16:48:49.105599
Person,1,0,2021-12-15 16:48:51.973336
Person,0,1,2021-12-15 16:48:57.443476
Person,1,0,2021-12-15 16:49:03.135536
Person,0,2,2021-12-15 16:49:11.190811
Person,1,0,2021-12-15 16:50:55.370085
Person,0,1,2021-12-15 16:51:07.900132
Person,0,1,2021-12-15 16:52:17.060032
Person,1,0,2021-12-15 16:52:48.682518
